C:\Users\samyt\Desktop\Winter_2022\CSI2520\Projet Integrateur\Partie 2 - Concurrente (Go)>go run map1.go
N = 20 and 10 consumer threads

Number of points: 232050
NW:(40.700000 , -74.000000)
SE:(40.800000 , -73.930000)

Partition          0 : [   0,     1]
Partition   20000000 : [  97,   129]
Partition   10000000 : [   0,    12]
Partition   30000000 : [ 508,   542]
Partition  130000000 : [  11,    34]
Partition  140000000 : [   0,     1]
Partition  110000000 : [ 262,   308]
Partition  160000000 : [   0,     1]
Partition  170000000 : [   0,     1]
Partition  120000000 : [ 346,   401]
Partition  190000000 : [   0,     0]
Partition    1000000 : [   0,     9]
Partition   11000000 : [   7,    14]
Partition   21000000 : [  30,    58]
Partition  180000000 : [   0,     3]
Partition  150000000 : [   0,     4]
Partition   31000000 : [ 308,   353]
Partition  100000000 : [ 698,   763]
Partition   90000000 : [ 787,   856]
Partition   50000000 : [1285,  1327]
Partition   41000000 : [1079,  1139]
Partition   60000000 : [1220,  1269]
Partition   80000000 : [1405,  1474]
Partition   70000000 : [1471,  1532]
Partition  111000000 : [ 641,   700]
Partition  141000000 : [   0,    11]
Partition  151000000 : [   0,     2]
Partition  161000000 : [   0,     2]
Partition   61000000 : [1254,  1308]
Partition  171000000 : [   0,     0]
Partition  191000000 : [   0,     1]
Partition  181000000 : [   0,     3]
Partition   12000000 : [   0,     6]
Partition    2000000 : [  23,    50]
Partition  131000000 : [ 189,   237]
Partition   22000000 : [ 109,   143]
Partition  121000000 : [ 666,   741]
Partition   32000000 : [ 342,   388]
Partition   40000000 : [1930,  1966]
Partition   42000000 : [ 615,   649]
Partition   51000000 : [1696,  1746]
Partition   52000000 : [1354,  1405]
Partition   91000000 : [1963,  2006]
Partition  122000000 : [ 856,   928]
Partition   71000000 : [2049,  2089]
Partition  132000000 : [ 762,   809]
Partition  152000000 : [  56,    74]
Partition  162000000 : [   0,     4]
Partition  142000000 : [ 476,   512]
Partition  182000000 : [   0,     1]
Partition  192000000 : [   0,     0]
Partition  172000000 : [   0,     2]
Partition   13000000 : [   0,     0]
Partition   23000000 : [   7,    13]
Partition    3000000 : [  50,    84]
Partition   33000000 : [ 384,   417]
Partition   82000000 : [2730,  2747]
Partition   62000000 : [2671,  2697]
Partition   43000000 : [ 911,   945]
Partition  112000000 : [2047,  2114]
Partition   53000000 : [ 902,   958]
Partition   81000000 : [2873,  2913]
Partition   72000000 : [3110,  3126]
Partition   63000000 : [1535,  1587]
Partition  133000000 : [1280,  1352]
Partition  143000000 : [ 776,   841]
